ETA,Cf1,Cf2,Cf3,Cf4
0.475,7.79049,-25.52332,-92.16824,-158.83643
0.48,7.80221,-24.17344,-88.14104,-152.13092
0.485,7.81404,-22.73534,-83.84949,-144.98503
0.49,7.82618,-21.2099,-79.2967,-137.40379
0.495,7.83841,-19.59877,-74.48715,-129.39458
0.5,7.85091,-17.90375,-69.42602,-120.96608
0.505,7.86134,-16.12884,-64.12101,-112.12939
0.515,7.88765,-12.34046,-52.80653,-93.287
0.525,7.91465,-8.26108,-40.62132,-72.99327
0.535,7.94188,-3.92409,-27.66332,-51.41257
0.545,7.96937,0.63113,-14.05174,-28.74275
0.555,7.99692,5.35758,0.07372,-5.2171
0.565,8.02425,10.20171,14.5521,18.89634
0.575,8.05128,15.1031,29.2025,43.29586
0.585,8.07779,19.995,43.82512,67.64916
0.595,8.10355,24.8053,58.20375,91.59602
0.605,8.12845,29.45699,72.10861,114.75266
0.615,8.1519,33.86967,85.29852,136.71823
0.625,8.17393,37.96084,97.5261,157.08049
0.635,8.19434,41.64689,108.54202,175.42406
0.645,8.21266,44.84566,118.10026,191.33939
0.655,8.22891,47.47829,125.96417,204.43243
0.665,8.24253,49.47061,131.91267,214.33511
0.675,8.25346,50.75657,135.74719,220.71681
0.685,8.26134,51.27924,137.29843,223.29556
0.695,8.26633,50.99435,136.43375,221.85031
0.705,8.26768,49.87167,133.06323,216.2323
0.715,8.26549,47.89829,127.14728,206.37465
0.725,8.25977,45.07865,118.7014,192.30367
0.735,8.25005,41.43841,107.80145,174.14589
0.745,8.23641,37.0242,94.58753,152.13457
0.755,8.21889,31.90468,79.26608,126.61351
0.765,8.19712,26.17094,62.11033,98.03769
0.775,8.17149,19.9362,43.45832,66.97104
0.785,8.14201,13.33339,23.71029,34.07942
0.795,8.10868,6.51471,3.32152,0.12145
0.805,8.07191,-0.35238,-17.2058,-34.06597
0.815,8.03165,-7.08837,-37.33371,-67.58646
0.825,7.98851,-13.50614,-56.50171,-99.50597
0.835,7.94268,-19.41629,-74.1421,-128.87862
0.845,7.89465,-24.63295,-89.69798,-154.77638
0.855,7.84503,-28.97999,-102.64218,-176.3205
0.865,7.79443,-32.29788,-112.49637,-192.714
0.875,7.74342,-34.44994,-118.8525,-203.27643
0.885,7.69268,-35.32954,-121.39112,-207.47572
0.895,7.64304,-34.86551,-119.90028,-204.95934
0.905,7.59525,-33.02797,-114.29205,-195.58046
0.915,7.55019,-29.83258,-104.61499,-179.42055
0.925,7.50858,-25.34335,-91.06272,-156.8033
0.935,7.47128,-19.67403,-73.97827,-128.30128
0.945,7.43893,-12.98769,-53.85256,-94.73339
0.955,7.41225,-5.49373,-31.31581,-57.15122
0.965,7.39196,2.55632,-7.12347,-16.81481
0.975,7.37844,10.87638,17.86473,24.84268
0.985,7.37208,19.15511,42.71364,66.26157
0.995,7.37293,27.06614,66.44413,105.81059
1.005,7.38119,34.28224,88.07418,141.85248
1.015,7.39666,40.48788,106.65807,172.81184
1.025,7.41923,45.39538,121.33318,197.25146
1.035,7.4483,48.75872,131.36269,213.9442
1.045,7.48395,50.38793,136.17812,221.94377
1.055,7.52507,50.16184,135.41718,220.64702
1.065,7.57122,48.03843,128.95471,209.84633
1.075,7.6218,44.06187,116.92483,189.76492
1.085,7.67606,38.36611,99.73125,161.07622
1.095,7.73325,31.17479,78.04556,124.89926
1.105,7.79231,22.79526,52.79078,82.77272
1.115,7.85262,13.60804,25.11064,36.6022
1.125,7.91314,4.05263,-3.6752,-11.41269
1.135,7.97263,-5.39277,-32.13054,-58.87778
1.145,8.03014,-14.23449,-58.77146,-103.31889
1.155,8.08438,-21.98869,-82.14445,-142.31294
1.165,8.1343,-28.20983,-100.90961,-173.62485
1.175,8.17863,-32.51714,-113.92239,-195.34573
1.185,8.21646,-34.62125,-120.31161,-206.022
1.195,8.24643,-34.34611,-119.54677,-204.7682
1.205,8.26769,-31.64634,-111.48949,-191.35284
1.215,8.27944,-26.61766,-96.42592,-166.25237
1.225,8.28106,-19.49998,-75.07365,-130.66289
1.235,8.27204,-10.66994,-48.56319,-86.46891
1.245,8.25224,-0.6261,-18.39025,-36.16427
1.255,8.22152,10.03584,13.65829,17.27221
1.265,8.18048,20.65677,45.6032,70.54117
1.275,8.12959,30.55297,75.39246,120.22203
1.285,8.06968,39.06084,101.03378,162.99396
1.295,8.00208,45.5829,120.73254,195.86621
1.305,7.92847,49.6323,133.02588,216.40036
1.315,7.85041,50.87292,136.90237,222.91077
1.325,7.77015,49.15165,131.89847,214.62354
1.335,7.69003,44.51865,118.16068,191.78175
1.345,7.61248,37.23552,96.46778,155.68176
1.355,7.54011,27.76643,68.20777,108.63367
1.365,7.47554,16.75554,35.30621,53.8442
1.375,7.42106,4.98621,0.1083,-4.78081
1.385,7.37888,-6.67071,-34.77847,-62.89778
1.395,7.35094,-17.32108,-66.67477,-116.04214
1.405,7.33812,-26.11605,-93.03668,-159.97412
1.415,7.34149,-32.32293,-111.66672,-191.03087
1.425,7.36079,-35.39034,-120.90987,-206.45255
1.435,7.39575,-35.00272,-119.81766,-204.65674
1.445,7.44476,-31.11851,-108.26227,-185.42912
1.455,7.50617,-23.98671,-86.98772,-150.00926
1.465,7.57789,-14.14042,-57.58972,-101.05586
1.475,7.65771,-2.36401,-22.41748,-42.48434
1.485,7.7425,10.36319,15.59575,20.81698
1.495,7.82994,22.945,53.16677,83.37724
1.505,7.91697,34.26196,86.94218,139.60948
1.515,8.00085,43.27151,113.80093,184.31461
1.525,8.0788,49.10851,131.15388,213.18053
1.535,8.14825,51.17441,137.21112,223.22743
1.545,8.20678,49.20588,131.18837,213.15067
1.555,8.25206,43.31549,113.42857,183.52321
1.565,8.28237,33.99852,85.41973,136.82564
1.575,8.29605,22.10032,49.70016,77.28816
1.585,8.29221,8.74831,9.65358,10.54906
1.595,8.27048,-4.74918,-30.79506,-56.85046
1.605,8.23085,-17.02905,-67.55692,-118.09602
1.615,8.17433,-26.81173,-96.79445,-166.79152
1.625,8.10232,-33.03908,-115.33514,-197.64897
1.635,8.01735,-34.99602,-121.03779,-207.09946
1.645,7.92232,-32.40228,-113.06638,-193.75082
1.655,7.82097,-25.46094,-92.03819,-158.63365
1.665,7.71741,-14.85707,-60.0171,-105.19246
1.675,7.6164,-1.70153,-20.34618,-39.00303
1.685,7.52295,12.57667,22.67593,32.76445
1.695,7.44186,26.37874,64.24345,102.09634
1.705,7.37768,38.11455,99.5771,161.0246
1.715,7.33431,46.38808,124.48145,202.55594
1.725,7.31436,50.16912,135.8622,221.53307
1.735,7.3193,48.93195,132.1398,215.32442
1.745,7.34927,42.73865,113.50122,184.24232
1.755,7.40263,32.25589,81.94872,131.62361
1.765,7.47661,18.69674,41.12633,63.54157
1.775,7.56715,3.69224,-4.06678,-11.83808
1.785,7.66958,-10.89806,-48.04256,-85.19984
1.795,7.77873,-23.21338,-85.20869,-147.21918
1.805,7.88904,-31.63214,-110.68828,-189.76268
1.815,7.99526,-34.99237,-120.9827,-206.9937
1.825,8.09242,-32.76275,-114.48802,-196.23381
1.835,8.17572,-25.13878,-91.78128,-158.44144
1.845,8.2412,-13.0451,-55.62832,-98.22546
1.855,8.28548,1.96247,-10.69175,-23.35679
1.865,8.30611,17.88559,37.03701,56.17884
1.875,8.30155,32.54372,81.01969,129.48442
1.885,8.27145,43.87286,115.06454,186.24179
1.895,8.21645,50.22136,134.21759,218.19586
1.905,8.1388,50.60265,135.51572,220.40924
1.915,8.04173,44.86189,118.48835,192.09639
1.925,7.92988,33.72971,85.31754,136.89008
1.935,7.80914,18.74725,40.61419,62.46883
1.945,7.68638,2.06748,-9.17846,-20.4352
1.955,7.56896,-13.84668,-56.68725,-99.54002
1.965,7.46488,-26.58455,-94.69533,-162.82198
1.975,7.38123,-34.15926,-117.25532,-200.37141
1.985,7.32465,-35.33036,-120.65724,-206.00633
1.995,7.29969,-29.82455,-104.08936,-178.37526
2.005,7.3087,-18.41254,-69.86859,-121.34238
