amount,balance,hour,day,time_since_last,distance,speed,merchant_risk,cardholder_risk,device,ip_risk,z_score,is_fraud
65,5432,15,2,1414.46,7,12,0.11,0.03,1,0.08,-0.06,0
67,3951,9,4,1186.40,1,47,0.12,0.09,1,0.01,-0.35,0
54,4341,18,2,1483.50,11,37,0.15,0.14,1,0.06,0.64,0
87,6029,16,4,1377.93,5,17,0.06,0.02,1,0.07,1.30,0
56,4846,18,4,1665.81,5,25,0.17,0.01,1,0.06,0.44,0
51,4691,9,2,1231.50,9,27,0.06,0.11,1,0.08,0.07,0
81,3514,20,1,1396.38,8,33,0.00,0.04,1,0.04,-0.01,0
112,4350,19,0,1350.90,9,46,0.05,0.02,1,0.04,-0.26,0
40,3949,12,0,1532.02,4,20,0.19,0.16,1,0.03,-0.14,0
65,5050,15,2,1420.58,5,41,0.05,0.17,1,0.01,-0.17,0
57,4499,16,0,1543.05,9,31,0.12,0.11,1,0.03,-0.75,0
23,8167,8,2,1329.56,7,32,0.12,0.12,1,0.01,-0.76,0
53,5584,19,4,1497.17,6,37,0.02,0.08,1,0.04,1.01,0
78,4049,17,1,1336.48,6,30,0.10,0.12,1,0.08,0.59,0
86,3868,18,4,1556.79,4,36,0.17,0.17,1,0.07,0.55,0
70,5857,17,3,1716.43,7,28,0.07,0.15,1,0.02,0.07,0
68,5400,20,3,1478.22,5,16,0.13,0.11,1,0.08,0.37,0
65,4599,17,0,1420.94,6,36,0.02,0.19,1,0.07,0.09,0
56,4595,8,3,1466.59,3,42,0.01,0.17,1,0.10,-0.76,0
67,4474,14,4,1753.10,5,24,0.05,0.20,1,0.04,0.94,0
35,4822,14,4,1235.75,7,32,0.13,0.05,1,0.10,-0.28,0
56,3853,12,4,1194.55,10,39,0.05,0.04,1,0.00,-0.10,0
35,6444,19,2,1508.55,6,36,0.15,0.13,1,0.01,0.22,0
85,5491,16,0,1154.77,7,15,0.03,0.13,1,0.03,0.16,0
31,6965,20,0,1349.54,-2,14,0.14,0.17,1,0.08,0.38,0
60,4429,15,0,1439.28,2,45,0.11,0.00,1,0.03,0.44,0
42,5038,20,0,1345.78,8,36,0.16,0.01,1,0.07,-0.49,0
64,5880,16,0,1579.64,6,39,0.07,0.16,1,0.01,0.32,0
62,5950,17,1,1324.06,5,28,0.14,0.12,1,0.07,-0.61,0
107,4576,10,3,1554.24,6,24,0.03,0.00,1,0.07,-0.04,0
70,3003,18,2,1404.88,3,26,0.04,0.17,1,0.02,-0.71,0
58,5503,15,3,1716.89,7,30,0.11,0.10,1,0.06,0.79,0
58,4627,11,1,1703.39,6,21,0.08,0.09,1,0.08,-0.68,0
75,4283,11,1,1504.76,4,13,0.17,0.09,1,0.05,-0.03,0
83,3260,13,0,1514.86,5,38,0.07,0.15,1,0.01,-0.62,0
59,5477,18,1,1020.97,6,27,0.05,0.12,1,0.07,0.62,0
53,4651,16,2,1609.42,9,42,0.16,0.12,1,0.09,-0.04,0
55,4804,9,1,1375.68,4,31,0.04,0.04,1,0.01,-0.24,0
64,4105,19,1,1343.81,-2,15,0.10,0.07,1,0.05,0.25,0
45,5505,12,0,1295.84,6,38,0.20,0.07,1,0.00,-0.61,0
73,4483,15,0,1661.11,9,36,0.08,0.13,1,0.01,-0.57,0
80,4748,16,4,1762.74,6,28,0.07,0.13,1,0.08,0.48,0
74,5635,10,4,1409.99,5,28,0.06,0.07,1,0.04,0.01,0
42,6553,16,0,1312.21,1,46,0.12,0.09,1,0.04,0.50,0
61,6126,13,3,1162.09,0,40,0.12,0.15,1,0.08,1.22,0
55,5392,18,2,1289.21,4,13,0.06,0.06,1,0.08,-0.05,0
22,5397,11,1,1503.24,5,31,0.02,0.17,1,0.08,0.66,0
48,4104,8,1,1275.48,5,25,0.11,0.02,1,0.00,0.58,0
65,7250,19,0,1555.86,8,25,0.18,0.15,1,0.06,-0.54,0
43,3942,15,2,1527.11,8,36,0.03,0.08,1,0.02,0.34,0
70,4639,8,4,1684.92,10,15,0.08,0.12,1,0.05,0.13,0
44,6639,13,4,1635.28,8,33,0.12,0.05,1,0.01,-0.27,0
48,3985,18,0,1235.51,11,35,0.01,0.13,1,0.03,0.48,0
94,5871,19,4,1168.55,4,29,0.07,0.20,1,0.04,-0.26,0
77,3204,17,3,1462.10,6,23,0.08,0.08,1,0.08,0.26,0
60,5384,20,3,1613.06,7,38,0.02,0.05,1,0.08,-0.58,0
66,6002,19,3,1225.88,2,23,0.19,0.11,1,0.03,-0.12,0
38,2847,11,1,1607.26,5,33,0.17,0.04,1,0.09,0.00,0
62,4901,10,1,1493.48,6,23,0.02,0.08,1,0.02,0.50,0
39,6313,11,1,1657.18,6,30,0.12,0.15,1,0.02,0.41,0
9,5064,16,4,1318.10,4,31,0.19,0.09,1,0.03,0.26,0
2,5293,19,4,1449.81,4,17,0.11,0.04,1,0.02,-0.78,0
93,4901,15,0,1193.84,4,22,0.14,0.12,1,0.06,-0.28,0
45,4257,19,3,1538.13,2,35,0.16,0.08,1,0.07,0.37,0
68,2826,13,4,1523.64,5,24,0.08,0.16,1,0.06,-0.19,0
40,5579,12,0,1627.05,4,18,0.01,0.01,1,0.04,0.26,0
76,3692,12,3,1302.62,4,37,0.16,0.12,1,0.09,-0.62,0
70,4883,8,0,1498.29,3,28,0.19,0.05,1,0.08,-0.19,0
60,6312,15,2,1138.12,4,29,0.18,0.02,1,0.10,0.49,0
48,4924,15,0,1598.61,9,29,0.01,0.10,1,0.04,0.05,0
65,4982,11,2,1230.62,7,42,0.05,0.00,1,0.01,0.36,0
72,6311,9,1,1397.73,5,30,0.18,0.06,1,0.01,0.29,0
40,4933,20,4,1448.20,7,19,0.01,0.02,1,0.06,0.18,0
55,4221,19,1,1555.89,5,25,0.04,0.18,1,0.06,-0.17,0
77,4417,14,0,1500.47,0,18,0.20,0.15,1,0.06,0.30,0
82,4201,16,3,1519.94,3,25,0.10,0.17,1,0.07,0.29,0
106,6075,15,2,1553.10,0,38,0.13,0.15,1,0.02,0.19,0
55,4980,8,3,1398.20,2,24,0.11,0.15,1,0.06,0.29,0
50,3890,20,0,1413.20,5,22,0.19,0.07,1,0.03,0.32,0
51,4180,15,2,1785.39,4,32,0.08,0.08,1,0.07,0.47,0
83,4427,11,0,1329.63,13,24,0.12,0.11,1,0.06,0.09,0
93,5956,9,2,1595.67,3,22,0.01,0.07,1,0.08,0.00,0
79,5682,10,4,1353.64,2,22,0.04,0.12,1,0.07,-0.07,0
40,6854,11,3,1370.08,6,41,0.08,0.11,1,0.06,-0.15,0
50,3880,9,2,1334.44,7,11,0.19,0.05,1,0.04,0.09,0
70,4467,17,4,1621.84,9,31,0.00,0.01,1,0.02,0.07,0
55,4001,11,0,1419.97,4,21,0.18,0.05,1,0.03,-0.41,0
54,6568,20,3,1474.78,4,31,0.11,0.07,1,0.03,-0.24,0
57,5111,9,2,1453.40,7,14,0.15,0.20,1,0.03,-0.26,0
38,5567,15,0,1533.29,5,14,0.02,0.03,1,0.02,0.58,0
73,4550,14,0,1236.84,5,34,0.01,0.14,1,0.05,0.35,0
58,4171,8,1,1527.31,8,6,0.13,0.11,1,0.01,-0.50,0
88,5057,17,2,1310.81,3,25,0.15,0.10,1,0.02,-0.48,0
53,5511,16,1,1513.45,10,21,0.07,0.06,1,0.04,0.06,0
50,6208,14,0,1277.33,4,16,0.04,0.02,1,0.04,-0.13,0
44,5934,15,0,1593.08,4,18,0.14,0.16,1,0.03,0.06,0
53,4596,15,4,1596.36,7,40,0.19,0.17,1,0.01,-0.31,0
43,6142,8,4,1227.52,6,28,0.03,0.00,1,0.06,0.49,0
96,5224,9,1,1478.88,4,33,0.16,0.11,1,0.07,-0.15,0
54,3045,19,3,1218.07,2,31,0.11,0.05,1,0.01,0.06,0
65,4541,10,3,1489.84,6,34,0.09,0.12,1,0.07,-0.61,0
69,5382,18,2,1376.49,3,35,0.20,0.01,1,0.01,-0.50,0
77,4622,13,4,1542.78,6,34,0.16,0.13,1,0.03,0.24,0
65,5650,14,2,1413.47,2,41,0.11,0.08,1,0.10,-0.06,0
56,4057,16,1,1548.17,8,40,0.13,0.11,1,0.06,1.03,0
31,4738,12,4,1416.03,4,31,0.06,0.16,1,0.01,-0.29,0
75,4114,16,3,1368.58,7,36,0.17,0.06,1,0.04,1.13,0
77,4315,12,4,1254.53,6,40,0.18,0.11,1,0.05,0.25,0
24,4312,19,0,1242.67,4,44,0.13,0.14,1,0.01,-0.14,0
75,4326,10,3,1464.64,7,30,0.13,0.01,1,0.03,0.85,0
51,2792,17,2,1354.14,3,16,0.12,0.06,1,0.02,-0.04,0
56,5007,8,2,1343.01,7,6,0.04,0.08,1,0.00,-0.72,0
77,4418,8,0,1466.43,9,32,0.01,0.14,1,0.00,0.50,0
75,4913,20,0,1736.11,3,33,0.05,0.13,1,0.03,0.38,0
74,5420,14,4,1364.60,7,41,0.13,0.02,1,0.06,0.30,0
78,5114,19,1,1666.90,3,48,0.13,0.18,1,0.06,-0.53,0
37,5007,16,0,1379.75,4,43,0.11,0.17,1,0.10,0.38,0
71,5918,19,2,1272.81,5,38,0.16,0.04,1,0.05,-0.10,0
81,4665,11,2,1456.21,3,33,0.05,0.08,1,0.05,0.53,0
90,5457,14,2,1072.87,9,46,0.14,0.07,1,0.02,0.39,0
38,4785,15,0,1247.12,4,30,0.13,0.07,1,0.01,-0.08,0
26,4194,13,4,1684.42,5,45,0.02,0.03,1,0.10,1.02,0
38,5098,17,2,1086.54,1,22,0.10,0.03,1,0.08,-0.22,0
32,3547,10,3,1442.86,5,32,0.03,0.01,1,0.10,-0.39,0
113,3194,20,4,1396.17,9,19,0.04,0.01,1,0.03,-0.44,0
20,5748,19,4,1854.82,2,5,0.20,0.18,1,0.06,-0.14,0
99,6127,12,4,1456.96,5,35,0.03,0.12,1,0.06,0.14,0
48,2902,13,4,1505.36,10,32,0.09,0.01,1,0.10,-0.20,0
60,5654,19,3,1429.60,10,29,0.10,0.11,1,0.04,-0.96,0
75,5187,10,1,1547.28,6,8,0.12,0.12,1,0.08,-0.86,0
63,4992,15,3,1235.35,3,19,0.01,0.19,1,0.02,-0.42,0
78,5789,13,4,1887.95,6,41,0.07,0.15,1,0.05,0.24,0
58,4644,12,0,1476.12,5,24,0.08,0.14,1,0.03,0.16,0
69,3144,19,4,1446.04,7,25,0.10,0.16,1,0.07,-0.11,0
28,4237,19,1,1614.58,3,28,0.18,0.06,1,0.05,0.35,0
73,3761,12,4,1109.42,9,21,0.18,0.10,1,0.04,0.17,0
96,6239,11,3,1218.93,7,38,0.16,0.11,1,0.05,0.28,0
68,4491,9,3,1073.33,5,33,0.01,0.15,1,0.03,-0.47,0
60,4991,17,1,1631.02,2,21,0.02,0.07,1,0.03,0.56,0
50,5874,11,1,1408.08,8,28,0.19,0.02,1,0.07,0.38,0
11,4866,18,0,1544.45,3,32,0.15,0.19,1,0.07,0.03,0
48,4684,10,2,1352.38,5,34,0.10,0.09,1,0.05,-0.06,0
49,3779,19,0,1687.02,4,26,0.13,0.09,1,0.09,0.24,0
73,3928,20,4,1291.60,4,43,0.06,0.13,1,0.04,0.41,0
42,5638,11,4,1264.30,1,13,0.17,0.00,1,0.04,0.06,0
55,4006,16,2,1595.80,-2,29,0.09,0.19,1,0.05,0.01,0
36,6114,19,0,1527.70,5,37,0.02,0.05,1,0.00,0.30,0
80,4258,17,3,1631.14,11,49,0.11,0.18,1,0.07,0.39,0
85,5180,14,0,1253.13,3,33,0.12,0.09,1,0.01,0.07,0
77,6773,15,0,1477.56,0,43,0.11,0.16,1,0.02,0.67,0
75,6448,16,1,1347.92,8,39,0.03,0.13,1,0.08,0.03,0
57,5416,13,3,1298.91,5,41,0.19,0.10,1,0.02,0.56,0
58,4456,13,2,1300.21,9,37,0.15,0.11,1,0.02,0.09,0
106,3443,13,4,1630.73,5,22,0.20,0.11,1,0.04,0.20,0
45,5310,11,2,921.89,5,30,0.04,0.09,1,0.09,0.31,0
50,4427,9,1,1275.51,9,22,0.19,0.19,1,0.04,0.79,0
68,5529,11,0,1737.17,4,33,0.17,0.16,1,0.04,0.53,0
87,5233,12,1,1616.47,4,25,0.09,0.01,1,0.05,0.13,0
44,5339,16,2,1438.56,7,1,0.13,0.02,1,0.00,1.00,0
58,4328,17,0,1303.07,7,10,0.13,0.05,1,0.02,0.45,0
29,5033,16,4,1358.59,7,31,0.09,0.12,1,0.05,0.29,0
44,5958,19,1,1402.18,8,29,0.10,0.04,1,0.06,0.76,0
49,3974,14,3,1163.78,9,37,0.09,0.02,1,0.08,-0.18,0
47,6213,11,2,855.01,9,28,0.11,0.11,1,0.06,0.33,0
57,4448,16,1,1323.58,3,30,0.18,0.01,1,0.02,-0.11,0
82,4093,11,0,1389.65,8,19,0.14,0.16,1,0.02,-0.60,0
76,4748,13,3,1731.95,0,24,0.11,0.14,1,0.02,0.11,0
68,6402,18,1,991.87,4,31,0.03,0.11,1,0.08,0.25,0
43,5539,8,0,1198.85,4,27,0.03,0.17,1,0.03,0.11,0
53,4540,11,3,1587.47,8,46,0.06,0.10,1,0.05,-1.07,0
76,4780,8,2,1360.17,6,35,0.17,0.02,1,0.06,0.62,0
98,5010,8,0,973.43,9,28,0.02,0.19,1,0.07,-0.97,0
64,5230,11,3,1578.70,4,41,0.05,0.12,1,0.06,0.31,0
61,4360,12,2,1366.70,1,29,0.18,0.12,1,0.02,0.35,0
47,4767,16,2,1337.93,6,25,0.20,0.16,1,0.07,-0.63,0
65,4640,13,4,1381.15,3,25,0.20,0.01,1,0.05,-0.83,0
55,4076,12,1,1311.45,10,19,0.05,0.04,1,0.05,-0.83,0
42,3996,17,1,1295.65,6,25,0.12,0.12,1,0.06,-0.14,0
84,6014,13,0,1110.44,6,29,0.12,0.04,1,0.09,-0.50,0
31,6430,20,3,1163.51,10,31,0.19,0.04,1,0.07,0.36,0
88,5698,13,0,1779.93,5,37,0.02,0.16,1,0.09,-0.16,0
61,6347,18,1,1833.07,7,20,0.13,0.16,1,0.01,0.32,0
41,3123,17,0,1323.99,6,35,0.19,0.11,1,0.02,0.24,0
88,5681,15,2,1287.34,5,37,0.12,0.11,1,0.03,-0.10,0
76,4730,16,1,1393.83,9,17,0.14,0.09,1,0.04,0.35,0
71,5184,19,1,1330.09,8,26,0.06,0.10,1,0.01,-0.02,0
76,4983,8,2,1789.84,2,23,0.03,0.01,1,0.02,-0.25,0
76,5340,20,3,1711.88,4,49,0.05,0.15,1,0.01,-0.99,0
62,5126,14,4,1210.89,1,37,0.18,0.02,1,0.04,0.00,0
64,7985,13,0,1523.53,8,32,0.15,0.09,1,0.06,0.08,0
69,4074,20,3,1356.53,4,40,0.10,0.03,1,0.01,0.46,0
54,5425,17,3,1245.41,6,23,0.03,0.05,1,0.03,-0.51,0
84,4210,15,2,1021.58,9,43,0.14,0.14,1,0.02,-1.17,0
7,5003,13,0,1549.78,12,33,0.02,0.07,1,0.01,-0.46,0
40,5651,12,1,1413.58,6,3,0.00,0.16,1,0.01,0.13,0
112,3888,12,2,1220.72,8,42,0.16,0.17,1,0.05,0.07,0
82,4374,20,2,1367.65,9,27,0.08,0.13,1,0.00,-0.01,0
42,4327,15,3,1554.38,3,32,0.20,0.09,1,0.05,0.59,0
45,4906,15,2,1262.98,9,25,0.07,0.19,1,0.04,-0.06,0
66,5306,16,3,1287.38,6,13,0.11,0.10,1,0.04,0.91,0
83,5773,10,4,1573.73,2,46,0.07,0.08,1,0.02,-0.55,0
73,3534,12,1,1478.13,8,20,0.09,0.14,1,0.03,0.20,0
47,3992,15,4,1365.90,1,30,0.04,0.02,1,0.07,0.45,0
83,4579,9,0,1625.32,2,31,0.13,0.06,1,0.03,-0.03,0
72,4052,20,2,1134.81,7,40,0.16,0.15,1,0.02,0.27,0
65,4461,19,0,1347.98,5,27,0.11,0.01,1,0.07,0.25,0
74,4698,18,4,1819.35,3,32,0.16,0.14,1,0.10,-0.19,0
109,3824,20,4,1682.96,3,12,0.13,0.05,1,0.00,0.32,0
72,6329,11,2,1089.73,0,23,0.13,0.15,1,0.07,-0.08,0
65,3928,10,2,1398.70,7,15,0.20,0.20,1,0.06,0.07,0
73,5885,16,2,1627.64,4,25,0.13,0.19,1,0.01,0.08,0
92,5355,14,3,1172.80,4,31,0.09,0.19,1,0.01,-0.27,0
56,3732,15,3,1448.70,7,5,0.03,0.11,1,0.03,-0.15,0
63,5765,15,3,1346.84,5,29,0.02,0.12,1,0.09,-0.23,0
67,5799,14,4,1682.56,3,24,0.14,0.12,1,0.06,-0.32,0
53,4136,12,3,1508.61,6,23,0.04,0.05,1,0.05,-0.09,0
50,4715,11,4,1506.74,5,35,0.04,0.00,1,0.08,-0.61,0
32,3700,20,3,1559.01,3,26,0.17,0.03,1,0.01,-0.46,0
22,4850,19,4,1742.40,5,19,0.00,0.03,1,0.09,-0.56,0
66,4962,17,0,1240.73,8,19,0.07,0.11,1,0.10,-0.25,0
38,5589,14,4,1203.13,4,47,0.10,0.10,1,0.08,-0.04,0
79,4633,9,3,1526.78,-3,30,0.15,0.10,1,0.09,0.67,0
68,4919,15,0,1264.35,8,32,0.10,0.08,1,0.09,-0.11,0
88,6873,14,0,1301.40,7,42,0.11,0.07,1,0.10,-0.44,0
110,7267,13,3,1546.96,9,24,0.09,0.07,1,0.01,0.23,0
77,4973,20,2,1498.44,4,8,0.15,0.03,1,0.05,-1.06,0
99,3599,14,4,1334.75,9,26,0.01,0.04,1,0.03,0.19,0
108,5221,16,3,1541.65,17,9,0.17,0.03,1,0.00,0.86,0
29,4699,19,0,1466.24,5,39,0.04,0.01,1,0.06,0.78,0
37,5606,17,4,1480.40,6,28,0.06,0.15,1,0.04,0.32,0
55,4531,10,2,1240.68,1,42,0.13,0.04,1,0.03,0.85,0
88,6660,11,3,1575.43,4,24,0.14,0.11,1,0.03,-1.01,0
88,4696,19,2,1354.30,3,30,0.20,0.19,1,0.05,0.11,0
50,4569,15,3,1263.96,1,38,0.04,0.00,1,0.01,-0.05,0
65,5725,15,1,1328.89,2,28,0.17,0.05,1,0.07,0.74,0
52,5954,19,3,1667.12,2,22,0.04,0.07,1,0.04,-0.30,0
65,6713,13,4,1057.55,5,16,0.03,0.02,1,0.05,0.99,0
54,5715,14,3,1257.52,6,31,0.14,0.08,1,0.06,0.54,0
76,4284,17,4,1398.20,3,32,0.05,0.18,1,0.08,-0.42,0
78,6515,18,3,1526.97,4,37,0.11,0.05,1,0.04,0.40,0
46,5757,9,3,1444.67,4,19,0.14,0.18,1,0.07,0.11,0
50,5420,8,0,1203.14,6,26,0.18,0.11,1,0.02,0.52,0
65,3919,20,2,1297.10,8,25,0.08,0.12,1,0.09,0.11,0
38,4178,18,1,1451.80,6,27,0.08,0.02,1,0.06,0.09,0
64,5487,8,2,1582.92,-1,42,0.16,0.12,1,0.04,-0.17,0
51,4711,11,4,1906.66,11,21,0.06,0.11,1,0.00,-0.35,0
62,3483,9,2,1442.85,0,34,0.19,0.18,1,0.06,-0.13,0
35,6703,17,1,1206.75,-1,33,0.00,0.19,1,0.02,0.38,0
65,4628,13,1,1428.68,9,10,0.11,0.07,1,0.00,0.07,0
90,4308,12,2,1414.10,7,23,0.20,0.01,1,0.06,0.43,0
86,6088,8,2,1181.37,7,35,0.08,0.03,1,0.02,-0.93,0
90,4524,17,0,1225.17,9,25,0.02,0.05,1,0.08,-0.48,0
58,5274,8,1,1412.12,7,11,0.01,0.12,1,0.00,0.66,0
46,6005,17,3,1631.64,-1,54,0.15,0.03,1,0.05,0.65,0
37,4691,20,0,1567.13,3,10,0.17,0.02,1,0.02,-0.31,0
2,4625,10,3,1540.34,11,23,0.06,0.18,1,0.05,-0.32,0
43,6274,9,1,1753.56,2,35,0.05,0.18,1,0.09,-0.57,0
40,4248,10,3,1635.06,7,40,0.08,0.03,1,0.07,0.26,0
88,3858,20,3,1618.59,10,26,0.09,0.12,1,0.04,0.36,0
23,4216,8,4,1106.00,3,36,0.05,0.09,1,0.05,1.21,0
71,3892,12,1,1532.05,9,23,0.06,0.02,1,0.10,0.01,0
74,4945,8,4,1687.74,9,38,0.04,0.02,1,0.07,-0.63,0
67,3765,19,0,1376.65,5,28,0.01,0.13,1,0.04,-0.16,0
34,5189,18,1,1483.82,5,46,0.10,0.01,1,0.01,0.98,0
27,6059,17,3,1466.62,5,14,0.17,0.12,1,0.06,0.44,0
77,4191,18,4,1677.35,9,28,0.15,0.06,1,0.07,0.02,0
21,5709,19,0,1287.96,6,45,0.16,0.02,1,0.00,-0.33,0
42,6355,10,4,1455.92,7,21,0.11,0.08,1,0.06,0.02,0
32,4405,14,0,1314.45,4,44,0.17,0.20,1,0.06,-1.24,0
49,6015,8,0,1669.42,5,47,0.07,0.15,1,0.07,0.39,0
64,4007,11,0,1375.22,9,37,0.15,0.06,1,0.05,0.55,0
47,5704,15,3,1687.80,13,20,0.06,0.15,1,0.07,-0.53,0
45,4955,18,1,1516.04,4,12,0.08,0.12,1,0.07,0.09,0
38,5136,15,2,1642.14,7,35,0.11,0.15,1,0.09,-0.09,0
73,5186,14,1,1575.79,5,25,0.12,0.19,1,0.04,-0.17,0
56,4506,11,2,1027.01,3,21,0.18,0.08,1,0.04,-0.12,0
46,6953,11,1,1474.51,7,54,0.12,0.08,1,0.03,-0.27,0
54,4035,9,3,1271.92,7,31,0.12,0.17,1,0.06,-0.34,0
82,4436,9,3,1464.78,3,28,0.06,0.03,1,0.02,0.40,0
99,3614,8,1,1495.30,-5,24,0.16,0.18,1,0.04,-0.50,0
41,4389,20,0,1243.38,0,43,0.09,0.08,1,0.10,0.22,0
